tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,propietario_id
INSCRIPCION INICIAL IMPORTADO,2024-02-09,2024-02-09,24006,Importado,2023.0,C4,PICK-UP CARROZADA,R81,KYC,005,MAMUT BOX REFRIGERADO,1.0,Privado,12239.0
INSCRIPCION INICIAL IMPORTADO,2024-02-15,2024-02-15,23008,Importado,2023.0,C4,PICK-UP CARROZADA,R81,KYC,005,MAMUT BOX REFRIGERADO,1.0,Privado,
INSCRIPCION INICIAL IMPORTADO,2024-02-27,2024-02-27,2097,Importado,2023.0,C4,PICK-UP CARROZADA,R81,KYC,005,MAMUT BOX REFRIGERADO,2.0,Público,
INSCRIPCION INICIAL IMPORTADO,2024-02-27,2024-02-27,3001,Importado,2023.0,C4,PICK-UP CARROZADA,684,CHANGAN,014,MD201 BOX REFRIGERADA,1.0,Privado,308.0
INSCRIPCION INICIAL IMPORTADO,2024-02-20,2024-02-20,1293,Importado,2023.0,C4,PICK-UP CARROZADA,R81,KYC,005,MAMUT BOX REFRIGERADO,1.0,Privado,
INSCRIPCION INICIAL IMPORTADO,2024-02-02,2024-02-02,1261,Importado,2023.0,C4,PICK-UP CARROZADA,R81,KYC,005,MAMUT BOX REFRIGERADO,1.0,Privado,7040.0
INSCRIPCION INICIAL IMPORTADO,2024-02-16,2024-02-16,2047,Importado,2023.0,C4,PICK-UP CARROZADA,R81,KYC,005,MAMUT BOX REFRIGERADO,1.0,Privado,1718.0
INSCRIPCION INICIAL IMPORTADO,2024-02-01,2024-02-01,2034,Importado,2023.0,C4,PICK-UP CARROZADA,R81,KYC,005,MAMUT BOX REFRIGERADO,1.0,Privado,
INSCRIPCION INICIAL IMPORTADO,2024-02-27,2024-02-27,1012,Importado,2023.0,C4,PICK-UP CARROZADA,R81,KYC,005,MAMUT BOX REFRIGERADO,1.0,Privado,1078.0
INSCRIPCION INICIAL IMPORTADO,2024-02-02,2024-02-02,1247,Importado,1998.0,B9,UNIDAD DE BOMBEROS,120,SCANIA,496,94D 310,0.0,Oficial,
INSCRIPCION INICIAL IMPORTADO,2024-02-02,2024-02-02,21020,Importado,1999.0,A8,CAMION CISTERNA,259,MAN,122,18-264 SILENT,1.0,Privado,
INSCRIPCION INICIAL IMPORTADO,2024-02-21,2024-02-21,1295,Importado,2005.0,A8,CAMION CISTERNA,120,SCANIA,601,R420,1.0,Privado,
INSCRIPCION INICIAL IMPORTADO,2024-02-15,2024-02-15,1309,Importado,2004.0,A8,CAMION CISTERNA,112,RENAULT,C37,PREMIUM 320,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-02,2024-02-02,21045,Nacional,2023.0,A2,ARTESANAL REPLICA,AF,SIN MARCA,02,QF302-390,1.0,Privado,9689.0
INSCRIPCION INICIAL NACIONAL,2024-02-14,2024-02-14,5002,Nacional,2023.0,A2,ARTESANAL REPLICA,AF,SIN MARCA,01,QF302,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-19,2024-02-19,5016,Nacional,2023.0,A2,ARTESANAL REPLICA,AF,SIN MARCA,01,QF302,1.0,Privado,9265.0
INSCRIPCION INICIAL IMPORTADO,2024-02-08,2024-02-08,15017,Protocolo 21,2024.0,99,CHASIS CON CABINA DOBLE,063,IVECO,521,DAILY 70-170,1.0,Privado,
INSCRIPCION INICIAL IMPORTADO,2024-02-29,2024-02-29,21012,Protocolo 21,2024.0,99,CHASIS CON CABINA DOBLE,063,IVECO,558,DAILY 55-170,1.0,Privado,
INSCRIPCION INICIAL IMPORTADO,2024-02-29,2024-02-29,7010,Protocolo 21,2024.0,99,CHASIS CON CABINA DOBLE,063,IVECO,521,DAILY 70-170,1.0,Privado,
INSCRIPCION INICIAL IMPORTADO,2024-02-28,2024-02-28,10006,Protocolo 21,2024.0,99,CHASIS CON CABINA DOBLE,063,IVECO,521,DAILY 70-170,1.0,Privado,
INSCRIPCION INICIAL IMPORTADO,2024-02-16,2024-02-16,2020,Importado,2024.0,99,CHASIS CON CABINA DOBLE,287,HINO,019,300 / 816,1.0,Privado,
INSCRIPCION INICIAL IMPORTADO,2024-02-09,2024-02-09,2044,Protocolo 21,2024.0,99,CHASIS CON CABINA DOBLE,063,IVECO,521,DAILY 70-170,1.0,Privado,
INSCRIPCION INICIAL IMPORTADO,2024-02-16,2024-02-16,1131,Importado,2024.0,99,CHASIS CON CABINA DOBLE,061,ISUZU,209,NPR75 L,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-01,2024-02-01,15010,Nacional,2024.0,94,TRACTOR C/ CABINA DORMITORIO,67,IVECO,FB,460S36TLA14,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-22,2024-02-22,15007,Nacional,2024.0,94,TRACTOR C/ CABINA DORMITORIO,67,IVECO,FM,AT530S36TYPA85,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-22,2024-02-22,15007,Nacional,2024.0,94,TRACTOR C/ CABINA DORMITORIO,67,IVECO,FM,AT530S36TYPA85,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-22,2024-02-22,15007,Nacional,2024.0,94,TRACTOR C/ CABINA DORMITORIO,67,IVECO,FM,AT530S36TYPA85,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-22,2024-02-22,15007,Nacional,2024.0,94,TRACTOR C/ CABINA DORMITORIO,67,IVECO,FM,AT530S36TYPA85,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-22,2024-02-22,15007,Nacional,2024.0,94,TRACTOR C/ CABINA DORMITORIO,67,IVECO,FM,AT530S36TYPA85,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-06,2024-02-06,15007,Nacional,2024.0,94,TRACTOR C/ CABINA DORMITORIO,67,IVECO,FM,AT530S36TYPA85,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-06,2024-02-06,15007,Nacional,2024.0,94,TRACTOR C/ CABINA DORMITORIO,67,IVECO,FM,AT530S36TYPA85,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-06,2024-02-06,15007,Nacional,2024.0,94,TRACTOR C/ CABINA DORMITORIO,67,IVECO,FM,AT530S36TYPA85,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-06,2024-02-06,15007,Nacional,2024.0,94,TRACTOR C/ CABINA DORMITORIO,67,IVECO,FM,AT530S36TYPA85,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-06,2024-02-06,15007,Nacional,2024.0,94,TRACTOR C/ CABINA DORMITORIO,67,IVECO,FM,AT530S36TYPA85,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-26,2024-02-26,15016,Nacional,2024.0,94,TRACTOR C/ CABINA DORMITORIO,67,IVECO,EE,600S44TLA05,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-01,2024-02-01,15010,Nacional,2024.0,94,TRACTOR C/ CABINA DORMITORIO,67,IVECO,FB,460S36TLA14,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-26,2024-02-26,17011,Nacional,2024.0,94,TRACTOR C/ CABINA DORMITORIO,67,IVECO,CH,450C33T MLL,1.0,Privado,12305.0
INSCRIPCION INICIAL NACIONAL,2024-02-27,2024-02-27,17003,Nacional,2024.0,94,TRACTOR C/ CABINA DORMITORIO,67,IVECO,CN,600S44TLA15,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-08,2024-02-08,17011,Nacional,2024.0,94,TRACTOR C/ CABINA DORMITORIO,67,IVECO,BV,490S44T AT,1.0,Privado,12300.0
INSCRIPCION INICIAL NACIONAL,2024-02-28,2024-02-28,17008,Nacional,2024.0,94,TRACTOR C/ CABINA DORMITORIO,29,MERCEDES BENZ,GM,958 ATEGO 1729 S 36 CD TE,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-29,2024-02-29,21016,Nacional,2024.0,94,TRACTOR C/ CABINA DORMITORIO,29,MERCEDES BENZ,GM,958 ATEGO 1729 S 36 CD TE,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-27,2024-02-27,21011,Nacional,2024.0,94,TRACTOR C/ CABINA DORMITORIO,67,IVECO,FF,170E28TLM21,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-27,2024-02-27,21011,Nacional,2024.0,94,TRACTOR C/ CABINA DORMITORIO,67,IVECO,FF,170E28TLM21,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-15,2024-02-15,21010,Nacional,2024.0,94,TRACTOR C/ CABINA DORMITORIO,67,IVECO,BV,490S44T AT,1.0,Privado,6235.0
INSCRIPCION INICIAL NACIONAL,2024-02-01,2024-02-01,21029,Nacional,2024.0,94,TRACTOR C/ CABINA DORMITORIO,67,IVECO,FB,460S36TLA14,1.0,Privado,
